    E       Coeff1      Coeff2
-2.730150516687881    0.97   3.28   
-2.7287660442624846    0.97   3.29   
-2.727381560006111    0.97   3.3   
-2.7259971572718507    0.97   3.31   
-2.724612928110149    0.97   3.32   
-2.7232289632746562    0.97   3.33   
-2.721845352228214    0.97   3.34   
-2.720462183148993    0.97   3.35   
-2.719079542936745    0.97   3.36   
-2.717697517219221    0.97   3.37   
-2.7163161903586754    0.97   3.38   
-2.7149356454585356    0.97   3.39   
-2.713555964370178    0.97   3.4   
-2.838794771887974    0.98   2.4   
-2.8379795373847747    0.98   2.41   
-2.837151120333364    0.98   2.42   
-2.8363097233419503    0.98   2.43   
-2.8354555479353882    0.98   2.44   
-2.834588794545872    0.98   2.45   
-2.833709662503792    0.98   2.46   
-2.8328183500287603    0.98   2.47   
-2.8319150542207816    0.98   2.48   
-2.8309999710516034    0.98   2.49   
-2.8300732953561942    0.98   2.5   
-2.8291352208244227    0.98   2.51   
-2.828185939992858    0.98   2.52   
-2.8272256442367607    0.98   2.53   
-2.8262545237622136    0.98   2.54   
-2.8252727675984284    0.98   2.55   
-2.82428056359021    0.98   2.56   
-2.823278098390567    0.98   2.57   
-2.8222655574535325    0.98   2.58   
-2.82124312502708    0.98   2.59   
-2.8202109841462697    0.98   2.6   
-2.819169316626521    0.98   2.61   
-2.818118303057066    0.98   2.62   
-2.8170581227945646    0.98   2.63   
-2.815988953956894    0.98   2.64   
-2.8149109734171085    0.98   2.65   
-2.8138243567975487    0.98   2.66   
-2.81272927846416    0.98   2.67   
-2.8116259115209417    0.98   2.68   
-2.8105144278046037    0.98   2.69   
-2.8093949978793646    0.98   2.7   
-2.808267791031959    0.98   2.71   
-2.8071329752667826    0.98   2.72   
-2.8059907173012544    0.98   2.73   
-2.8048411825613058    0.98   2.74   
-2.8036845351771067    0.98   2.75   
-2.8025209379789144    0.98   2.76   
-2.801350552493134    0.98   2.77   
-2.800173538938562    0.98   2.78   
-2.798990056222775    0.98   2.79   
-2.7978002619387494    0.98   2.8   
-2.7966043123616173    0.98   2.81   
-2.7954023624456323    0.98   2.82   
-2.7941945658213143    0.98   2.83   
-2.792981074792759    0.98   2.84   
-2.7917620403351613    0.98   2.85   
-2.7905376120924914    0.98   2.86   
-2.7893079383753774    0.98   2.87   
-2.788073166159162    0.98   2.88   
-2.7868334410821456    0.98   2.89   
-2.785588907444013    0.98   2.9   
-2.7843397082044494    0.98   2.91   
-2.783085984981929    0.98   2.92   
-2.78182787805271    0.98   2.93   
-2.780565526349982    0.98   2.94   
-2.7792990674632283    0.98   2.95   
-2.778028637637766    0.98   2.96   
-2.776754371774444    0.98   2.97   
-2.7754764026103307    0.98   2.98   
-2.774194864042679    0.98   2.99   
-2.7729098860707553    0.98   3.0   
-2.771621598218474    0.98   3.01   
-2.77033012866661    0.98   3.02   
-2.769035604253629    0.98   3.03   
-2.7677381504766583    0.98   3.04   
-2.766437891492666    0.98   3.05   
-2.7651349501198004    0.98   3.06   
-2.7638294478389125    0.98   3.07   
-2.7625215047952607    0.98   3.08   
-2.7612112398003785    0.98   3.09   
-2.7598987703341287    0.98   3.1   
-2.758584212546915    0.98   3.11   
-2.7572676812620815    0.98   3.12   
-2.755949289978478    0.98   3.13   
-2.7546291508731793    0.98   3.14   
-2.7533073748043972    0.98   3.15   
-2.7519840713145363    0.98   3.16   
-2.750659348633431    0.98   3.17   
-2.749333313681727    0.98   3.18   
-2.7480060720744475    0.98   3.19   
-2.746677728124697    0.98   3.2   
-2.7453483848475386    0.98   3.21   
-2.7440181439640137    0.98   3.22   
-2.7426871059053295    0.98   3.23   
-2.741355369817192    0.98   3.24   
-2.7400230335642863    0.98   3.25   
-2.738690193734915    0.98   3.26   
-2.7373569456457694    0.98   3.27   
-2.736023383346859    0.98   3.28   
-2.734689599626571    0.98   3.29   
-2.7333556860168864    0.98   3.3   
-2.7320217327987066    0.98   3.31   
